# Lexia 3 full USB dump (control+bulk+interrupt, включая пустые)
# ts,type,xfer,dir,ep,bus,dev,status,length,caplen,setup,data
1787289887.306308,C,BULK,IN,5,1,11,0,64,64,,440945c000ff0100aa000000000000ff300001aa00000000424f4f54315f5053415f58535f5f00503130373434312d200056312e302e33004041435449410032
1787289887.306438,S,BULK,IN,5,1,11,4294967181,64,0,,
1787289887.306562,C,BULK,IN,5,1,11,0,9,9,,322e30322e3037007a
1787289887.306697,S,BULK,OUT,6,1,11,4294967181,3,3,,064409
1787289887.306733,C,BULK,OUT,6,1,11,0,3,0,,
1787289887.308900,S,BULK,OUT,6,1,11,4294967181,25,25,,400915c000120000aa00000000000000000000000000000025
1787289887.309005,C,BULK,OUT,6,1,11,0,25,0,,
1787289887.314224,S,BULK,IN,5,1,11,4294967181,64,0,,
1787289887.336464,C,BULK,IN,5,1,11,0,3,3,,064000
1787289887.336613,S,BULK,OUT,6,1,11,4294967181,5,5,,410901c0f4
1787289887.336660,C,BULK,OUT,6,1,11,0,5,0,,
1787289887.338846,S,BULK,IN,5,1,11,4294967181,64,0,,
1787289887.338904,C,BULK,IN,5,1,11,0,4,4,,42410900
1787289887.338982,S,BULK,OUT,6,1,11,4294967181,5,5,,430901c0f2
1787289887.339029,C,BULK,OUT,6,1,11,0,5,0,,
1787289887.344215,S,BULK,IN,5,1,11,4294967181,64,0,,
1787289887.344321,C,BULK,IN,5,1,11,0,64,64,,440945c0001200000000000000000012300003aa000000004150504c495f58535f46756a695f005031303631333841200056342e332e37004041435449410032
1787289887.344385,S,BULK,IN,5,1,11,4294967181,64,0,,
1787289887.344489,C,BULK,IN,5,1,11,0,9,9,,372e31302e3137007c
1787289887.344553,S,BULK,OUT,6,1,11,4294967181,3,3,,064409
1787289887.344596,C,BULK,OUT,6,1,11,0,3,0,,
1787289887.346781,S,BULK,OUT,6,1,11,4294967181,26,26,,400916c000ff0100aa0000000000000000000000000000000135
1787289887.346866,C,BULK,OUT,6,1,11,0,26,0,,
1787289887.352011,S,BULK,IN,5,1,11,4294967181,64,0,,
1787289887.352076,C,BULK,IN,5,1,11,0,3,3,,064009
1787289887.352130,S,BULK,OUT,6,1,11,4294967181,5,5,,410901c0f4
1787289887.352164,C,BULK,OUT,6,1,11,0,5,0,,
1787289887.354267,S,BULK,IN,5,1,11,4294967181,64,0,,
1787289887.354313,C,BULK,IN,5,1,11,0,4,4,,42410900
1787289887.354353,S,BULK,OUT,6,1,11,4294967181,5,5,,430901c0f2
1787289887.354384,C,BULK,OUT,6,1,11,0,5,0,,
1787289887.359482,S,BULK,IN,5,1,11,4294967181,64,0,,
1787289887.359583,C,BULK,IN,5,1,11,0,64,64,,440945c000ff0100aa000000000000ff300001aa000000004150504c495f58535f46756a695f005031303631333841200056342e332e37004041435449410032
1787289887.359614,S,BULK,IN,5,1,11,4294967181,64,0,,
1787289887.359775,C,BULK,IN,5,1,11,0,9,9,,372e31302e313700f9
1787289887.359809,S,BULK,OUT,6,1,11,4294967181,3,3,,064409
1787289887.359834,C,BULK,OUT,6,1,11,0,3,0,,
1787289887.361940,S,BULK,OUT,6,1,11,4294967181,27,27,,400917c000090200aa00000000000000000000000000000016060e
1787289887.362019,C,BULK,OUT,6,1,11,0,27,0,,
1787289887.367126,S,BULK,IN,5,1,11,4294967181,64,0,,
1787289887.367183,C,BULK,IN,5,1,11,0,3,3,,064009
1787289887.367221,S,BULK,OUT,6,1,11,4294967181,5,5,,410901c0f4
1787289887.367248,C,BULK,OUT,6,1,11,0,5,0,,
1787289887.369358,S,BULK,IN,5,1,11,4294967181,64,0,,
1787289887.369404,C,BULK,IN,5,1,11,0,4,4,,42410900
1787289887.369443,S,BULK,OUT,6,1,11,4294967181,5,5,,430901c0f2
1787289887.369465,C,BULK,OUT,6,1,11,0,5,0,,
1787289887.374592,S,BULK,IN,5,1,11,4294967181,64,0,,
1787289887.374754,C,BULK,IN,5,1,11,0,31,31,,44091bc000090200aa00000000000009060001aa0000000030313131313341
1787289887.375005,S,BULK,OUT,6,1,11,4294967181,3,3,,064409
1787289887.375048,C,BULK,OUT,6,1,11,0,3,0,,
1787289887.377231,S,BULK,OUT,6,1,11,4294967181,25,25,,400915c000070000aa00000000000000000000000000000030
1787289887.377338,C,BULK,OUT,6,1,11,0,25,0,,
1787289887.382595,S,BULK,IN,5,1,11,4294967181,64,0,,
1787289887.483408,C,BULK,IN,5,1,11,0,3,3,,064000
1787289887.483850,S,BULK,OUT,6,1,11,4294967181,5,5,,410901c0f4
1787289887.483966,C,BULK,OUT,6,1,11,0,5,0,,
1787289887.486226,S,BULK,IN,5,1,11,4294967181,64,0,,
1787289887.486286,C,BULK,IN,5,1,11,0,4,4,,42410900
1787289887.486364,S,BULK,OUT,6,1,11,4294967181,5,5,,430901c0f2
1787289887.486398,C,BULK,OUT,6,1,11,0,5,0,,
1787289887.491596,S,BULK,IN,5,1,11,4294967181,64,0,,
1787289887.491754,C,BULK,IN,5,1,11,0,25,25,,440915c0000000000000000000000007000003aa0000000029
1787289887.491822,S,BULK,OUT,6,1,11,4294967181,3,3,,064409
1787289887.491863,C,BULK,OUT,6,1,11,0,3,0,,
1787289887.493969,S,BULK,IN,5,1,11,4294967181,64,0,,
1787289887.554104,C,BULK,IN,5,1,11,4294967294,0,0,,
1787289887.554362,S,BULK,OUT,6,1,11,4294967181,25,25,,400915c000070000aa00000000000000000000000000000030
1787289887.554467,C,BULK,OUT,6,1,11,0,25,0,,
1787289887.559644,S,BULK,IN,5,1,11,4294967181,64,0,,
1787289887.559739,C,BULK,IN,5,1,11,0,3,3,,064009
1787289887.559814,S,BULK,OUT,6,1,11,4294967181,5,5,,410901c0f4
1787289887.559849,C,BULK,OUT,6,1,11,0,5,0,,
1787289887.562011,S,BULK,IN,5,1,11,4294967181,64,0,,
1787289887.562067,C,BULK,IN,5,1,11,0,4,4,,42410900
1787289887.562157,S,BULK,OUT,6,1,11,4294967181,5,5,,430901c0f2
1787289887.562198,C,BULK,OUT,6,1,11,0,5,0,,
1787289887.567321,S,BULK,IN,5,1,11,4294967181,64,0,,
1787289887.567421,C,BULK,IN,5,1,11,0,25,25,,440915c000070000aa0000000000000700000caa000000006f
1787289887.567466,S,BULK,OUT,6,1,11,4294967181,3,3,,064409
1787289887.567504,C,BULK,OUT,6,1,11,0,3,0,,
1787289887.569677,S,BULK,OUT,6,1,11,4294967181,25,25,,400915c000120000aa00000000000000000000000000000025
1787289887.569754,C,BULK,OUT,6,1,11,0,25,0,,
1787289887.574890,S,BULK,IN,5,1,11,4294967181,64,0,,
1787289887.597280,C,BULK,IN,5,1,11,0,3,3,,064000
1787289887.597518,S,BULK,OUT,6,1,11,4294967181,5,5,,410901c0f4
1787289887.597570,C,BULK,OUT,6,1,11,0,5,0,,
1787289887.599700,S,BULK,IN,5,1,11,4294967181,64,0,,
1787289887.599758,C,BULK,IN,5,1,11,0,4,4,,42410900
1787289887.599828,S,BULK,OUT,6,1,11,4294967181,5,5,,430901c0f2
1787289887.599866,C,BULK,OUT,6,1,11,0,5,0,,
1787289887.605031,S,BULK,IN,5,1,11,4294967181,64,0,,
1787289887.605134,C,BULK,IN,5,1,11,0,64,64,,440945c0001200000000000000000012300003aa000000004150504c495f58535f46756a695f005031303631333841200056342e332e37004041435449410032
1787289887.605210,S,BULK,IN,5,1,11,4294967181,64,0,,
1787289887.605315,C,BULK,IN,5,1,11,0,9,9,,372e31302e3137007c
1787289887.605390,S,BULK,OUT,6,1,11,4294967181,3,3,,064409
1787289887.605424,C,BULK,OUT,6,1,11,0,3,0,,
1787289887.607579,S,BULK,OUT,6,1,11,4294967181,25,25,,400915c000fe0000aa00000000000000000000000000000039
1787289887.607624,C,BULK,OUT,6,1,11,0,25,0,,
1787289887.612797,S,BULK,IN,5,1,11,4294967181,64,0,,
1787289887.612856,C,BULK,IN,5,1,11,0,3,3,,064009
1787289887.612936,S,BULK,OUT,6,1,11,4294967181,5,5,,410901c0f4
1787289887.612976,C,BULK,OUT,6,1,11,0,5,0,,
1787289887.615092,S,BULK,IN,5,1,11,4294967181,64,0,,
1787289887.615130,C,BULK,IN,5,1,11,0,4,4,,42410900
1787289887.615162,S,BULK,OUT,6,1,11,4294967181,5,5,,430901c0f2
1787289887.615190,C,BULK,OUT,6,1,11,0,5,0,,
1787289887.620325,S,BULK,IN,5,1,11,4294967181,64,0,,
1787289887.620384,C,BULK,IN,5,1,11,0,27,27,,440917c000fe0000aa000000000000fe020001aa00000000000088
1787289887.620427,S,BULK,OUT,6,1,11,4294967181,3,3,,064409
1787289887.620453,C,BULK,OUT,6,1,11,0,3,0,,
1787289887.622623,S,BULK,OUT,6,1,11,4294967181,25,25,,400915c000fe0000aa00000000000000000000000000000039
1787289887.622751,C,BULK,OUT,6,1,11,0,25,0,,
1787289887.627895,S,BULK,IN,5,1,11,4294967181,64,0,,
1787289887.627935,C,BULK,IN,5,1,11,0,3,3,,064009
1787289887.778326,S,BULK,OUT,6,1,11,4294967181,5,5,,410901c0f4
1787289887.778389,C,BULK,OUT,6,1,11,0,5,0,,
1787289887.780512,S,BULK,IN,5,1,11,4294967181,64,0,,
1787289887.780563,C,BULK,IN,5,1,11,0,4,4,,42410900
1787289887.780608,S,BULK,OUT,6,1,11,4294967181,5,5,,430901c0f2
1787289887.780637,C,BULK,OUT,6,1,11,0,5,0,,
1787289887.785799,S,BULK,IN,5,1,11,4294967181,64,0,,
1787289887.785870,C,BULK,IN,5,1,11,0,27,27,,440917c000fe0000aa000000000000fe020001aa00000000000088
1787289887.785979,S,BULK,OUT,6,1,11,4294967181,3,3,,064409
1787289887.786015,C,BULK,OUT,6,1,11,0,3,0,,
1787289887.788158,S,BULK,OUT,6,1,11,4294967181,53,53,,400931c000051c00aa0000000000000000000000000000004646585858584330312b32585843325858583030303030303030303000
1787289887.788237,C,BULK,OUT,6,1,11,0,53,0,,
1787289887.793311,S,BULK,IN,5,1,11,4294967181,64,0,,
1787289887.910285,C,BULK,IN,5,1,11,0,3,3,,064009
1787289888.060719,S,BULK,OUT,6,1,11,4294967181,5,5,,410901c0f4
1787289888.060778,C,BULK,OUT,6,1,11,0,5,0,,
1787289888.062934,S,BULK,IN,5,1,11,4294967181,64,0,,
1787289888.062991,C,BULK,IN,5,1,11,0,4,4,,42410900
1787289888.063049,S,BULK,OUT,6,1,11,4294967181,5,5,,430901c0f2
1787289888.063078,C,BULK,OUT,6,1,11,0,5,0,,
1787289888.068212,S,BULK,IN,5,1,11,4294967181,64,0,,
1787289888.068296,C,BULK,IN,5,1,11,0,25,25,,440915c000051c00aa00000000000005000003aa0000000060
1787289888.068336,S,BULK,OUT,6,1,11,4294967181,3,3,,064409
1787289888.068365,C,BULK,OUT,6,1,11,0,3,0,,
1787289888.070492,S,BULK,OUT,6,1,11,4294967181,256,256,,4009fc800016a401aa0000000000000000000000000000005400fa0054010a00540219005403fa00540400005405fa00540604005407e8035408000054090a00540a8813540b0000540c000050000000500152075002520650030a004355000001015600ff005200ff004355000002025600ff005200ff004355000003025600ff005200ff004350b80b0400443e4400417e41004350b80b0500443e4400417e41004355000006005600ff005200ff004355000007014410560101005200ff004355000008014410560101005200ff004355000009024410560101005200ff0043550000100044355601040044115200ff00435500001100442e5601ff005293
1787289888.071781,C,BULK,OUT,6,1,11,0,256,0,,
1787289888.073997,S,BULK,OUT,6,1,11,4294967181,194,194,,4009be4100ff0043550000120044225601ff005200ff004355000013004419440244094159410241095203fc0043550000140044194401440941594101410941005204020043550000150044125601ff005200ff00435500001600441444ff44ff44ff41544355000017014422560102005200ff0043550000180044345601ff005200ff00435500001901442f5601ff005200ff004354000020005600ff005200ff0043550000210144315601ff005200ff0043550000ff005600ff005200ff00bb
1787289888.075272,C,BULK,OUT,6,1,11,0,194,0,,
1787289888.080495,S,BULK,IN,5,1,11,4294967181,64,0,,
1787289888.080548,C,BULK,IN,5,1,11,0,3,3,,064009
1787289888.230896,S,BULK,OUT,6,1,11,4294967181,5,5,,410901c0f4
1787289888.230978,C,BULK,OUT,6,1,11,0,5,0,,
1787289888.233149,S,BULK,IN,5,1,11,4294967181,64,0,,
1787289888.233202,C,BULK,IN,5,1,11,0,4,4,,42410900
1787289888.233249,S,BULK,OUT,6,1,11,4294967181,5,5,,430901c0f2
1787289888.233281,C,BULK,OUT,6,1,11,0,5,0,,
1787289888.238398,S,BULK,IN,5,1,11,4294967181,64,0,,
1787289888.238478,C,BULK,IN,5,1,11,0,25,25,,440915c00016a401aa00000000000000000000000000000078
1787289888.238511,S,BULK,OUT,6,1,11,4294967181,3,3,,064409
1787289888.238538,C,BULK,OUT,6,1,11,0,3,0,,
1787289888.240669,S,BULK,OUT,6,1,11,4294967181,5,5,,410901c0f4
1787289888.240731,C,BULK,OUT,6,1,11,0,5,0,,
1787289888.242830,S,BULK,IN,5,1,11,4294967181,64,0,,
1787289888.242871,C,BULK,IN,5,1,11,0,4,4,,42410900
1787289888.242905,S,BULK,OUT,6,1,11,4294967181,5,5,,430901c0f2
1787289888.242931,C,BULK,OUT,6,1,11,0,5,0,,
1787289888.248156,S,BULK,IN,5,1,11,4294967181,64,0,,
1787289888.248258,C,BULK,IN,5,1,11,0,25,25,,440915c00016a401aa00000000000000000000000000000078
1787289888.248343,S,BULK,OUT,6,1,11,4294967181,3,3,,064409
1787289888.248377,C,BULK,OUT,6,1,11,0,3,0,,
1787289888.250576,S,BULK,OUT,6,1,11,4294967181,27,27,,400917c0ff010200000000000000000000000000000000001003ca
1787289888.250666,C,BULK,OUT,6,1,11,0,27,0,,
1787289888.255867,S,BULK,IN,5,1,11,4294967181,64,0,,
1787289888.255933,C,BULK,IN,5,1,11,0,4,4,,15400902
1787289888.406305,S,BULK,OUT,6,1,11,4294967181,5,5,,410901c0f4
1787289888.406384,C,BULK,OUT,6,1,11,0,5,0,,
1787289888.408553,S,BULK,IN,5,1,11,4294967181,64,0,,
1787289888.523196,C,BULK,IN,5,1,11,0,4,4,,42410900
1787289888.523442,S,BULK,OUT,6,1,11,4294967181,5,5,,430901c0f2
1787289888.523486,C,BULK,OUT,6,1,11,0,5,0,,
1787289888.528645,S,BULK,IN,5,1,11,4294967181,64,0,,
1787289888.528784,C,BULK,IN,5,1,11,0,26,26,,440916c00016a401aa00000000000016010001aa0000000001b4
1787289888.528865,S,BULK,OUT,6,1,11,4294967181,3,3,,064409
1787289888.528937,C,BULK,OUT,6,1,11,0,3,0,,
1787289888.531147,S,BULK,OUT,6,1,11,4294967181,27,27,,400917c0ff010200000000000000000000000000000000001003ca
1787289888.531260,C,BULK,OUT,6,1,11,0,27,0,,
1787289888.536481,S,BULK,IN,5,1,11,4294967181,64,0,,
1787289888.536576,C,BULK,IN,5,1,11,0,3,3,,064009
1787289888.686929,S,BULK,OUT,6,1,11,4294967181,5,5,,410901c0f4
1787289888.687010,C,BULK,OUT,6,1,11,0,5,0,,
1787289888.689173,S,BULK,IN,5,1,11,4294967181,64,0,,
1787289888.689267,C,BULK,IN,5,1,11,0,4,4,,42410900
1787289888.689351,S,BULK,OUT,6,1,11,4294967181,5,5,,430901c0f2
1787289888.689424,C,BULK,OUT,6,1,11,0,5,0,,
1787289888.694618,S,BULK,IN,5,1,11,4294967181,64,0,,
1787289888.694774,C,BULK,IN,5,1,11,0,32,32,,44091cc0ff010200000000000000ff01070001aa0000000001120200055003b5
1787289888.694922,S,BULK,OUT,6,1,11,4294967181,3,3,,064409
1787289888.694968,C,BULK,OUT,6,1,11,0,3,0,,
1787289888.697510,S,BULK,OUT,6,1,11,4294967181,25,25,,400915c000fe0000aa00000000000000000000000000000039
1787289888.697606,C,BULK,OUT,6,1,11,0,25,0,,
1787289888.702785,S,BULK,IN,5,1,11,4294967181,64,0,,
1787289888.702850,C,BULK,IN,5,1,11,0,3,3,,064009
1787289888.853215,S,BULK,OUT,6,1,11,4294967181,5,5,,410901c0f4
1787289888.853278,C,BULK,OUT,6,1,11,0,5,0,,
1787289888.855457,S,BULK,IN,5,1,11,4294967181,64,0,,
1787289888.855525,C,BULK,IN,5,1,11,0,4,4,,42410900
1787289888.855585,S,BULK,OUT,6,1,11,4294967181,5,5,,430901c0f2
1787289888.855622,C,BULK,OUT,6,1,11,0,5,0,,
1787289888.860892,S,BULK,IN,5,1,11,4294967181,64,0,,
1787289888.860986,C,BULK,IN,5,1,11,0,27,27,,440917c000fe0000aa000000000000fe020001aa00000000010087
1787289888.861062,S,BULK,OUT,6,1,11,4294967181,3,3,,064409
1787289888.861108,C,BULK,OUT,6,1,11,0,3,0,,
1787289888.863298,S,BULK,OUT,6,1,11,4294967181,53,53,,400931c000051c00aa0000000000000000000000000000004646585858584330312b335858433258585830303030303030303030ff
1787289888.863391,C,BULK,OUT,6,1,11,0,53,0,,
1787289888.868715,S,BULK,IN,5,1,11,4294967181,64,0,,
1787289889.017526,C,BULK,IN,5,1,11,0,3,3,,064009
1787289889.167785,S,BULK,OUT,6,1,11,4294967181,5,5,,410901c0f4
1787289889.167852,C,BULK,OUT,6,1,11,0,5,0,,
1787289889.170010,S,BULK,IN,5,1,11,4294967181,64,0,,
1787289889.170097,C,BULK,IN,5,1,11,0,4,4,,42410900
1787289889.170153,S,BULK,OUT,6,1,11,4294967181,5,5,,430901c0f2
1787289889.170221,C,BULK,OUT,6,1,11,0,5,0,,
1787289889.175322,S,BULK,IN,5,1,11,4294967181,64,0,,
1787289889.175395,C,BULK,IN,5,1,11,0,25,25,,440915c000051c00aa00000000000005000003aa0000000060
1787289889.175519,S,BULK,OUT,6,1,11,4294967181,3,3,,064409
1787289889.175582,C,BULK,OUT,6,1,11,0,3,0,,
1787289889.177722,S,BULK,OUT,6,1,11,4294967181,256,256,,4009fc8000168c01aa0000000000000000000000000000005400fa0054011900540219005403fa00540400005405fa00540604005407e8035408000054090a00540a8813540b0000540c0000500000005001a8065002880650030a004355000001015600ff005200ff004355000002025600ff005200ff004355000003025600ff005200ff004350b80b0400443e417e4350b80b0500443e417e4355000006005600ff005200ff004355000007014410560101005200ff004355000008014410560101005200ff004355000009024410560101005200ff0043550000100044355601040044115200ff00435500001100443b5601ff005200ff00435500001265
1787289889.179042,C,BULK,OUT,6,1,11,0,256,0,,
1787289889.181193,S,BULK,OUT,6,1,11,4294967181,170,170,,4009a6410044215601ff005200ff00435500001300441744ff44005200ff00435500001400441744ff44ff5200ff0043550000150044125601ff005200ff00435500001600441444ff44005200ff00435500001701442144805200ff0043550000180044345601ff005200ff0043550000190144305601ff005200ff004354000020005600ff005200ff0043550000210144315601ff005200ff0043550000ff005600ff005200ff0049
1787289889.182157,C,BULK,OUT,6,1,11,0,170,0,,
1787289889.187331,S,BULK,IN,5,1,11,4294967181,64,0,,
1787289889.187424,C,BULK,IN,5,1,11,0,3,3,,064009
1787289889.337730,S,BULK,OUT,6,1,11,4294967181,5,5,,410901c0f4
1787289889.337796,C,BULK,OUT,6,1,11,0,5,0,,
1787289889.339974,S,BULK,IN,5,1,11,4294967181,64,0,,
1787289889.340025,C,BULK,IN,5,1,11,0,4,4,,42410900
1787289889.340059,S,BULK,OUT,6,1,11,4294967181,5,5,,430901c0f2
1787289889.340086,C,BULK,OUT,6,1,11,0,5,0,,
1787289889.345219,S,BULK,IN,5,1,11,4294967181,64,0,,
1787289889.345286,C,BULK,IN,5,1,11,0,25,25,,440915c000168c01aa00000000000000000000000000000090
1787289889.345389,S,BULK,OUT,6,1,11,4294967181,3,3,,064409
1787289889.345432,C,BULK,OUT,6,1,11,0,3,0,,
1787289889.347634,S,BULK,OUT,6,1,11,4294967181,5,5,,410901c0f4
1787289889.347699,C,BULK,OUT,6,1,11,0,5,0,,
1787289889.349819,S,BULK,IN,5,1,11,4294967181,64,0,,
1787289889.349879,C,BULK,IN,5,1,11,0,4,4,,42410900
1787289889.349941,S,BULK,OUT,6,1,11,4294967181,5,5,,430901c0f2
1787289889.349983,C,BULK,OUT,6,1,11,0,5,0,,
1787289889.355129,S,BULK,IN,5,1,11,4294967181,64,0,,
1787289889.355206,C,BULK,IN,5,1,11,0,25,25,,440915c000168c01aa00000000000000000000000000000090
1787289889.355254,S,BULK,OUT,6,1,11,4294967181,3,3,,064409
1787289889.355281,C,BULK,OUT,6,1,11,0,3,0,,
1787289889.357413,S,BULK,OUT,6,1,11,4294967181,26,26,,400916c0ff01010000000000000000000000000000000000815e
1787289889.357510,C,BULK,OUT,6,1,11,0,26,0,,
1787289889.362710,S,BULK,IN,5,1,11,4294967181,64,0,,
1787289889.362768,C,BULK,IN,5,1,11,0,4,4,,15400902
1787289889.513015,S,BULK,OUT,6,1,11,4294967181,5,5,,410901c0f4
1787289889.513082,C,BULK,OUT,6,1,11,0,5,0,,
1787289889.515265,S,BULK,IN,5,1,11,4294967181,64,0,,
1787289889.642134,C,BULK,IN,5,1,11,0,4,4,,42410900
1787289889.642277,S,BULK,OUT,6,1,11,4294967181,5,5,,430901c0f2
1787289889.642326,C,BULK,OUT,6,1,11,0,5,0,,
1787289889.647511,S,BULK,IN,5,1,11,4294967181,64,0,,
1787289889.647602,C,BULK,IN,5,1,11,0,26,26,,440916c000168c01aa00000000000016010001aa0000000001cc
